Part Number,Customer,Sales forecast,date
ECGCX0J101R,PDG/ANGR,0.0,2025-03-01
ECGCX0J101R,PDG/SONU,105000.0,2025-03-01
ECGCX0J101R,PDG/ANGR,0.0,2025-04-01
ECGCX0J101R,PDG/SONU,140000.0,2025-04-01
ECGCX0J101R,PDG/ANGR,0.0,2025-05-01
ECGCX0J101R,PDG/SONU,245000.0,2025-05-01
ECGCX0J101R,PDG/ANGR,0.0,2025-06-01
ECGCX0J101R,PDG/SONU,0.0,2025-06-01
ECGCX0J101R,PDG/ANGR,0.0,2025-07-01
ECGCX0J101R,PDG/SONU,140000.0,2025-07-01
ECGCX0J101R,PDG/ANGR,0.0,2025-08-01
ECGCX0J101R,PDG/SONU,140000.0,2025-08-01
ECGCX0J101R,PDG/ANGR,0.0,2025-09-01
ECGCX0J101R,PDG/SONU,140000.0,2025-09-01
ECGGX0P561SR,PSI/SAN,5400000.0,2025-03-01
ECGGX0P561SR,PST/ASUP,1096000.0,2025-03-01
ECGGX0P561SR,PST/HONG,2205000.0,2025-03-01
ECGGX0P561SR,SMM/SONY,1821500.0,2025-03-01
ECGGX0P561SR,PSI/SAN,19500000.0,2025-04-01
ECGGX0P561SR,PST/ASUP,1400000.0,2025-04-01
ECGGX0P561SR,PST/HONG,10800000.0,2025-04-01
ECGGX0P561SR,SMM/SONY,2500000.0,2025-04-01
ECGGX0P561SR,PSI/SAN,15750000.0,2025-05-01
ECGGX0P561SR,PST/ASUP,1900000.0,2025-05-01
ECGGX0P561SR,PST/HONG,11250000.0,2025-05-01
ECGGX0P561SR,SMM/SONY,1750000.0,2025-05-01
ECGGX0P561SR,PSI/SAN,11050000.0,2025-06-01
ECGGX0P561SR,PST/ASUP,2100000.0,2025-06-01
ECGGX0P561SR,PST/HONG,9550000.0,2025-06-01
ECGGX0P561SR,SMM/SONY,1400000.0,2025-06-01
ECGGX0P561SR,PSI/SAN,15400000.0,2025-07-01
ECGGX0P561SR,PST/ASUP,3700000.0,2025-07-01
ECGGX0P561SR,PST/HONG,12100000.0,2025-07-01
ECGGX0P561SR,SMM/SONY,2050000.0,2025-07-01
ECGGX0P561SR,PSI/SAN,6100000.0,2025-08-01
ECGGX0P561SR,PST/ASUP,1900000.0,2025-08-01
ECGGX0P561SR,PST/HONG,5100000.0,2025-08-01
ECGGX0P561SR,SMM/SONY,1400000.0,2025-08-01
ECGGX0P561SR,PSI/SAN,5200000.0,2025-09-01
ECGGX0P561SR,PST/ASUP,1800000.0,2025-09-01
ECGGX0P561SR,PST/HONG,4600000.0,2025-09-01
ECGGX0P561SR,SMM/SONY,868000.0,2025-09-01
ECGLR0E181F4,PST/EDE1,200000.0,2025-03-01
ECGLR0E181F4,PST/FOXA,0.0,2025-03-01
ECGLR0E181F4,PST/EDE1,800000.0,2025-04-01
ECGLR0E181F4,PST/FOXA,0.0,2025-04-01
ECGLR0E181F4,PST/EDE1,850000.0,2025-05-01
ECGLR0E181F4,PST/FOXA,0.0,2025-05-01
ECGLR0E181F4,PST/EDE1,900000.0,2025-06-01
ECGLR0E181F4,PST/FOXA,210000.0,2025-06-01
ECGLR0E181F4,PST/EDE1,600000.0,2025-07-01
ECGLR0E181F4,PST/FOXA,0.0,2025-07-01
ECGLR0E181F4,PST/EDE1,500000.0,2025-08-01
ECGLR0E181F4,PST/FOXA,0.0,2025-08-01
ECGLR0E181F4,PST/EDE1,566000.0,2025-09-01
ECGLR0E181F4,PST/FOXA,0.0,2025-09-01
ECGLX0D471RZ,PST/CHTT,0.0,2025-03-01
ECGLX0D471RZ,PST/CHTT,0.0,2025-04-01
ECGLX0D471RZ,PST/CHTT,0.0,2025-05-01
ECGLX0D471RZ,PST/CHTT,0.0,2025-06-01
ECGLX0D471RZ,PST/CHTT,0.0,2025-07-01
ECGLX0D471RZ,PST/CHTT,0.0,2025-08-01
ECGLX0D471RZ,PST/CHTT,0.0,2025-09-01
ECGLX0E471RZ,PST/CHTT,3500.0,2025-03-01
ECGLX0E471RZ,PST/CHTT,7000.0,2025-04-01
ECGLX0E471RZ,PST/CHTT,14000.0,2025-05-01
ECGLX0E471RZ,PST/CHTT,14000.0,2025-06-01
ECGLX0E471RZ,PST/CHTT,7000.0,2025-07-01
ECGLX0E471RZ,PST/CHTT,14000.0,2025-08-01
ECGLX0E471RZ,PST/CHTT,14000.0,2025-09-01
ECGRX0J101R,PICS/KTC,0.0,2025-03-01
ECGRX0J101R,PSA/GSS,0.0,2025-03-01
ECGRX0J101R,PSIZ/SIN,210000.0,2025-03-01
ECGRX0J101R,PSIZ/SIT,210000.0,2025-03-01
ECGRX0J101R,PICS/KTC,0.0,2025-04-01
ECGRX0J101R,PSA/GSS,0.0,2025-04-01
ECGRX0J101R,PSIZ/SIN,175000.0,2025-04-01
ECGRX0J101R,PSIZ/SIT,210000.0,2025-04-01
ECGRX0J101R,PICS/KTC,0.0,2025-05-01
ECGRX0J101R,PSA/GSS,0.0,2025-05-01
ECGRX0J101R,PSIZ/SIN,140000.0,2025-05-01
ECGRX0J101R,PSIZ/SIT,210000.0,2025-05-01
ECGRX0J101R,PICS/KTC,0.0,2025-06-01
ECGRX0J101R,PSA/GSS,0.0,2025-06-01
ECGRX0J101R,PSIZ/SIN,105000.0,2025-06-01
ECGRX0J101R,PSIZ/SIT,280000.0,2025-06-01
ECGRX0J101R,PICS/KTC,0.0,2025-07-01
ECGRX0J101R,PSA/GSS,0.0,2025-07-01
ECGRX0J101R,PSIZ/SIN,105000.0,2025-07-01
ECGRX0J101R,PSIZ/SIT,280000.0,2025-07-01
ECGRX0J101R,PICS/KTC,0.0,2025-08-01
ECGRX0J101R,PSA/GSS,0.0,2025-08-01
ECGRX0J101R,PSIZ/SIN,105000.0,2025-08-01
ECGRX0J101R,PSIZ/SIT,350000.0,2025-08-01
ECGRX0J101R,PICS/KTC,0.0,2025-09-01
ECGRX0J101R,PSA/GSS,0.0,2025-09-01
ECGRX0J101R,PSIZ/SIN,105000.0,2025-09-01
ECGRX0J101R,PSIZ/SIT,280000.0,2025-09-01
ECGRX0J221YR,PSIZ/SIT,105000.0,2025-03-01
ECGRX0J221YR,PSIZ/SIT,70000.0,2025-04-01
ECGRX0J221YR,PSIZ/SIT,70000.0,2025-05-01
ECGRX0J221YR,PSIZ/SIT,70000.0,2025-06-01
ECGRX0J221YR,PSIZ/SIT,70000.0,2025-07-01
ECGRX0J221YR,PSIZ/SIT,70000.0,2025-08-01
ECGRX0J221YR,PSIZ/SIT,70000.0,2025-09-01
ECGSX0D221EY,PST/CHTT,0.0,2025-03-01
ECGSX0D221EY,PST/CHTT,0.0,2025-04-01
ECGSX0D221EY,PST/CHTT,0.0,2025-05-01
ECGSX0D221EY,PST/CHTT,0.0,2025-06-01
ECGSX0D221EY,PST/CHTT,0.0,2025-07-01
ECGSX0D221EY,PST/CHTT,0.0,2025-08-01
ECGSX0D221EY,PST/CHTT,0.0,2025-09-01
ECGSX0D221XE,PST/CHTT,21000.0,2025-03-01
ECGSX0D221XE,PST/CHTT,0.0,2025-04-01
ECGSX0D221XE,PST/CHTT,0.0,2025-05-01
ECGSX0D221XE,PST/CHTT,0.0,2025-06-01
ECGSX0D221XE,PST/CHTT,0.0,2025-07-01
ECGSX0D221XE,PST/CHTT,0.0,2025-08-01
ECGSX0D221XE,PST/CHTT,0.0,2025-09-01
ECGSX0D331FR,PST/EDE1,0.0,2025-03-01
ECGSX0D331FR,PST/EDE1,0.0,2025-04-01
ECGSX0D331FR,PST/EDE1,0.0,2025-05-01
ECGSX0D331FR,PST/EDE1,0.0,2025-06-01
ECGSX0D331FR,PST/EDE1,0.0,2025-07-01
ECGSX0D331FR,PST/EDE1,0.0,2025-08-01
ECGSX0D331FR,PST/EDE1,0.0,2025-09-01
ECGSX0D331XE,PSIZ/SU2,490000.0,2025-03-01
ECGSX0D331XE,PST/CHTT,0.0,2025-03-01
ECGSX0D331XE,PSIZ/SU2,1120000.0,2025-04-01
ECGSX0D331XE,PST/CHTT,0.0,2025-04-01
ECGSX0D331XE,PSIZ/SU2,1365000.0,2025-05-01
ECGSX0D331XE,PST/CHTT,0.0,2025-05-01
ECGSX0D331XE,PSIZ/SU2,1505000.0,2025-06-01
ECGSX0D331XE,PST/CHTT,0.0,2025-06-01
ECGSX0D331XE,PSIZ/SU2,1050000.0,2025-07-01
ECGSX0D331XE,PST/CHTT,0.0,2025-07-01
ECGSX0D331XE,PSIZ/SU2,1050000.0,2025-08-01
ECGSX0D331XE,PST/CHTT,0.0,2025-08-01
ECGSX0D331XE,PSIZ/SU2,1050000.0,2025-09-01
ECGSX0D331XE,PST/CHTT,0.0,2025-09-01
ECGSX0D471ER,PSIZ/SU2,0.0,2025-03-01
ECGSX0D471ER,PSIZ/SU2,0.0,2025-04-01
ECGSX0D471ER,PSIZ/SU2,0.0,2025-05-01
ECGSX0D471ER,PSIZ/SU2,0.0,2025-06-01
ECGSX0D471ER,PSIZ/SU2,0.0,2025-07-01
ECGSX0D471ER,PSIZ/SU2,0.0,2025-08-01
ECGSX0D471ER,PSIZ/SU2,0.0,2025-09-01
ECGSX0D471EZ,PST/CHTT,1855000.0,2025-03-01
ECGSX0D471EZ,PST/CHTT,1730000.0,2025-04-01
ECGSX0D471EZ,PST/CHTT,2800000.0,2025-05-01
ECGSX0D471EZ,PST/CHTT,2000000.0,2025-06-01
ECGSX0D471EZ,PST/CHTT,1730000.0,2025-07-01
