Part Number,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09
ECGCX0J101R,105000.0,140000.0,236424.0,0.0,140546.0,159299.83,140000.0
ECGGX0P561SR,10522500.0,34200000.0,30128945.0,24374526.0,33450953.0,24719092.5,29893000.6
ECGLR0E181F4,200000.0,800000.0,858096.0,1128821.0,609878.0,2137113.74,2567285.8
ECGLX0D471RZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECGLX0E471RZ,3500.0,7000.0,14000.0,14000.0,5228.0,14000.0,14000.0
ECGRX0J101R,420000.0,385000.0,398381.0,422718.0,426221.0,839843.57,907092.6699999999
ECGRX0J221YR,105000.0,70000.0,80655.0,80569.0,80799.0,94114.29,95910.164
ECGSX0D221EY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECGSX0D221XE,21000.0,0.0,0.0,0.0,0.0,0.0,0.0
ECGSX0D331FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECGSX0D331XE,490000.0,1120000.0,1361862.0,1490350.0,1044050.0,782355.8,847321.0
ECGSX0D471ER,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECGSX0D471EZ,1855000.0,1730000.0,2853692.0,2028502.0,1760014.0,2305896.5,2536625.0
ECGSX0D471S4,0.0,0.0,0.0,0.0,15.0,1379.5522,978.0552
ECGSX0D471XE,126000.0,112000.0,112002.0,0.0,0.0,44259.086,47349.05
ECGSX0E471E4,840000.0,1120000.0,1358000.0,1358000.0,1000000.0,1000000.0,1000000.0
ECGSX0P471S4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFCT1C470BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFCT1C470R,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFCT1D470R,122500.0,0.0,0.0,25040.0,0.0,155272.866,252206.104
EEFCT1E220R,493500.0,301000.0,105650.0,1335260.0,1174567.0,1380083.857,1448023.4303199998
EEFCX0D221R,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFCX0D221YR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFCX0D331R,7000.0,7000.0,0.0,0.0,0.0,0.0,0.0
EEFCX0E221R,0.0,0.0,1650.0,1642.0,1707.0,11320.957,12940.053
EEFCX0E331R,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFCX0E331YR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFCX0G151R,3500.0,7000.0,3500.0,10500.0,3500.0,7782.211,5404.1859
EEFCX0G151ZR,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0
EEFCX0G181XR,21000.0,31500.0,10500.0,32126.0,17919.0,49335.9496,53157.6445
EEFCX0G221R,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFCX0G221XR,31500.0,24500.0,7000.0,0.0,24500.0,23998.38198,87524.937744
EEFCX0G221YR,0.0,48000.0,228269.0,338009.0,180681.0,282527.97,296830.45
EEFCX0G331R,17500.0,24500.0,0.0,0.0,27058.0,26282.7476,20025.137000000002
EEFCX0J101R,658000.0,1113000.0,1102960.0,1080359.0,792217.0,1081306.8829,1129316.48945
EEFCX0J151KY,711500.0,1220000.0,1113676.0,1091810.0,1136218.0,1163208.764,1347069.173
EEFCX0J151MR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFCX0J151R,28000.0,28000.0,6492.0,9998.0,9605.0,17365.7422,14115.119
EEFCX0J151XR,3500.0,0.0,1261.0,1260.0,1291.0,27448.3543,11987.676500000001
EEFCX0J151YR,196000.0,322000.0,200023.0,200439.0,193734.0,258897.79402,236641.305548001
EEFCX0J181R,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFCX0J221R,1025500.0,1399500.0,1697444.0,1015910.0,1468043.0,1485492.96645,1352586.06127
EEFCX0J221YR,2328000.0,2925500.0,2471651.0,2280544.0,2938135.0,2498882.378,2660876.992
EEFCX0J470R,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFCX1A101R,21000.0,21000.0,17322.0,17296.0,18549.0,21000.0,21000.0
EEFCX1C470R,122500.0,122500.0,9595.0,56128.0,102812.0,99424.6127,118359.27859999999
EEFCX1C680R,7000.0,458500.0,593986.0,593805.0,667433.0,704497.227,712020.69
EEFCX1D470R,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFCX1D560R,52500.0,1277500.0,663113.0,664762.0,531754.0,743880.06,675264.8
EEFCX1E150KR,0.0,0.0,0.0,0.0,0.0,649108.0886,659032.3837
EEFCX1E150R,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFCX1E220R,0.0,0.0,0.0,0.0,0.0,1846.2347,2665.7046
EEFCX1E330R,523500.0,1682000.0,1377803.0,1051822.0,960816.0,1228937.6519,1263828.6519
EEFGX0D471L,0.0,0.0,0.0,0.0,0.0,7081.282,8170.3745
EEFGX0D471R,4870500.0,5799500.0,4095353.0,3723326.0,4448931.0,4089782.58045,3986377.59038
EEFGX0D561L,1092500.0,1904000.0,2877618.0,3108519.0,1605054.0,1666478.125,1698071.4998
EEFGX0D561R,3198500.0,4566500.0,6937057.0,6373431.0,3628433.0,3288902.7342,3127460.6467
EEFGX0E471KR,4800000.0,7270000.0,4670340.0,2943029.0,4337327.0,4772076.5,4252594.0
EEFGX0E471L,1402000.0,1944500.0,1295889.0,1720653.0,1822739.0,1367111.9234,1608376.3186499998
EEFGX0E471R,9139500.0,18162000.0,14661802.0,13955546.0,16284128.0,17975517.3044,24931067.88515
EEFHX0D471R4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFHX0D471R6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFHX0D561R4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFHX0E331R4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFHX0E331R6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
