Part Number,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-12,2026-01,2026-02,2026-03
ECGCX0J101R,105000.0,140000.0,236424.0,0.0,140546.0,159299.83,140000.0,,,,,
ECGCX0J101R E30,,,,-490.0,-269.5,-479.5,-392.0,-448.0,-413.0,-441.0,-434.0,-430.5
ECGCX0J151R E10,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECGCX1A101YREA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECGGX0P561SR,10522500.0,34200000.0,30128945.0,24374526.0,33450953.0,24719092.5,29893000.6,,,,,
ECGGX0P561SREB1,,,,-27478.5,-29235.5,-20779.5,-12873.0,-8638.0,-6937.0,-6965.0,-8036.0,-8113.0
ECGLR0E181F4,200000.0,800000.0,858096.0,1128821.0,609878.0,2137113.74,2567285.8,,,,,
ECGLR0E181F4EA0,,,,-77.0,-444.5,-896.0,-703.5,-476.0,-570.5,-672.0,-661.5,-658.0
ECGLX0D471RZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
ECGLX0D471RZEB1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECGLX0E471RZ,3500.0,7000.0,14000.0,14000.0,5228.0,14000.0,14000.0,,,,,
ECGLX0E471RZEA1,,,,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,-3.5,-3.5
ECGRX0J101R,420000.0,385000.0,398381.0,422718.0,426221.0,839843.57,907092.6699999999,,,,,
ECGRX0J101R E30,,,,-560.0,-896.0,-619.5,-532.0,-560.0,-521.5,-514.5,-507.5,-504.0
ECGRX0J221YR,105000.0,70000.0,80655.0,80569.0,80799.0,94114.29,95910.164,,,,,
ECGRX0J221YREB1,,,,-52.5,-70.0,-70.0,-73.5,-77.0,-52.5,-38.5,-35.0,-38.5
ECGSR0D221B4EA0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECGSX0D221EY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
ECGSX0D221EYE10,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECGSX0D221XE,21000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
ECGSX0D221XEE10,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECGSX0D331F4E00,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECGSX0D331FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
