,variable_name,value
0,"order_quantity[0,s1,0]",0.0
1,"order_quantity[0,s1,1]",0.0
2,"order_quantity[0,s1,2]",0.0
3,"order_quantity[0,s1,3]",500.0
4,"order_quantity[0,s1,4]",0.0
5,"order_quantity[0,s1,5]",0.0
6,"order_quantity[0,s1,6]",0.0
7,"order_quantity[0,s1,7]",0.0
8,"order_quantity[0,s1,8]",0.0
9,"order_quantity[0,s2,0]",0.0
10,"order_quantity[0,s2,1]",0.0
11,"order_quantity[0,s2,2]",0.0
12,"order_quantity[0,s2,3]",500.0
13,"order_quantity[0,s2,4]",0.0
14,"order_quantity[0,s2,5]",0.0
15,"order_quantity[0,s2,6]",0.0
16,"order_quantity[0,s2,7]",0.0
17,"order_quantity[0,s2,8]",0.0
18,"order_quantity[1,s1,1]",0.0
19,"order_quantity[1,s1,2]",0.0
20,"order_quantity[1,s1,3]",0.0
21,"order_quantity[1,s1,4]",500.0
22,"order_quantity[1,s1,5]",0.0
23,"order_quantity[1,s1,6]",0.0
24,"order_quantity[1,s1,7]",0.0
25,"order_quantity[1,s1,8]",0.0
26,"order_quantity[1,s2,1]",0.0
27,"order_quantity[1,s2,2]",0.0
28,"order_quantity[1,s2,3]",0.0
29,"order_quantity[1,s2,4]",464.4025852300001
30,"order_quantity[1,s2,5]",35.59741476999989
31,"order_quantity[1,s2,6]",0.0
32,"order_quantity[1,s2,7]",0.0
33,"order_quantity[1,s2,8]",0.0
34,"order_quantity[2,s1,2]",0.0
35,"order_quantity[2,s1,3]",0.0
36,"order_quantity[2,s1,4]",0.0
37,"order_quantity[2,s1,5]",34.16658523000012
38,"order_quantity[2,s1,6]",0.0
39,"order_quantity[2,s1,7]",0.0
40,"order_quantity[2,s1,8]",0.0
41,"order_quantity[2,s2,2]",0.0
42,"order_quantity[2,s2,3]",0.0
43,"order_quantity[2,s2,4]",0.0
44,"order_quantity[2,s2,5]",500.0
45,"order_quantity[2,s2,6]",0.0
46,"order_quantity[2,s2,7]",0.0
47,"order_quantity[2,s2,8]",0.0
48,"order_quantity[3,s1,3]",0.0
49,"order_quantity[3,s1,4]",0.0
50,"order_quantity[3,s1,5]",0.0
51,"order_quantity[3,s1,6]",481.9252
52,"order_quantity[3,s1,7]",18.074799999999982
53,"order_quantity[3,s1,8]",0.0
54,"order_quantity[3,s2,3]",0.0
55,"order_quantity[3,s2,4]",0.0
56,"order_quantity[3,s2,5]",0.0
57,"order_quantity[3,s2,6]",116.42169999999999
58,"order_quantity[3,s2,7]",0.0
59,"order_quantity[3,s2,8]",0.0
60,"order_quantity[4,s1,4]",0.0
61,"order_quantity[4,s1,5]",0.0
62,"order_quantity[4,s1,6]",0.0
63,"order_quantity[4,s1,7]",0.0
64,"order_quantity[4,s1,8]",0.0
65,"order_quantity[4,s2,4]",0.0
66,"order_quantity[4,s2,5]",0.0
67,"order_quantity[4,s2,6]",0.0
68,"order_quantity[4,s2,7]",500.0
69,"order_quantity[4,s2,8]",0.0
70,"order_quantity[5,s1,5]",0.0
71,"order_quantity[5,s1,6]",0.0
72,"order_quantity[5,s1,7]",0.0
73,"order_quantity[5,s1,8]",491.2074
74,"order_quantity[5,s2,5]",0.0
75,"order_quantity[5,s2,6]",0.0
76,"order_quantity[5,s2,7]",0.0
77,"order_quantity[5,s2,8]",0.0
78,"order_quantity[6,s1,6]",0.0
79,"order_quantity[6,s1,7]",0.0
80,"order_quantity[6,s1,8]",0.0
81,"order_quantity[6,s2,6]",0.0
82,"order_quantity[6,s2,7]",0.0
83,"order_quantity[6,s2,8]",0.0
84,"order_quantity[7,s1,7]",0.0
85,"order_quantity[7,s1,8]",0.0
86,"order_quantity[7,s2,7]",0.0
87,"order_quantity[7,s2,8]",0.0
88,"order_quantity[8,s1,8]",0.0
89,"order_quantity[8,s2,8]",0.0
90,"arrive_quantity[0,s1]",0.0
91,"arrive_quantity[0,s2]",0.0
92,"arrive_quantity[1,s1]",0.0
93,"arrive_quantity[1,s2]",0.0
94,"arrive_quantity[2,s1]",0.0
95,"arrive_quantity[2,s2]",0.0
96,"arrive_quantity[3,s1]",500.0
